time, translated_id, translated_type, reported_id, reported_type
1105607227,3,0,Jan 13, 2005 4:07:08 AM
1105607228,3,1,Jan 13, 2005 4:07:08 AM
1105607681,3,1,Jan 13, 2005 4:14:42 AM
1105607682,3,0,Jan 13, 2005 4:14:42 AM
1392965119,4,0,Feb 21, 2014 1:45:20 AM
1392965120,4,1,Feb 21, 2014 1:45:20 AM
1392967133,4,1,Feb 21, 2014 2:18:54 AM
1392967134,4,0,Feb 21, 2014 2:18:54 AM
1392968064,4,0,Feb 21, 2014 2:34:25 AM
1392968065,4,1,Feb 21, 2014 2:34:25 AM
1392968415,4,1,Feb 21, 2014 2:40:16 AM
1392968416,4,0,Feb 21, 2014 2:40:16 AM
1393426887,4,0,Feb 26, 2014 10:01:28 PM
1393426888,4,1,Feb 26, 2014 10:01:28 PM
1393569099,4,1,Feb 28, 2014 1:31:40 PM
1393569100,4,0,Feb 28, 2014 1:31:40 PM
1393569108,4,0,Feb 28, 2014 1:31:49 PM
1393569109,4,1,Feb 28, 2014 1:31:49 PM
1393570397,4,1,Feb 28, 2014 1:53:18 PM
1393570398,4,0,Feb 28, 2014 1:53:18 PM
1393570406,4,0,Feb 28, 2014 1:53:27 PM
1393570407,4,1,Feb 28, 2014 1:53:27 PM
1393574261,4,1,Feb 28, 2014 2:57:42 PM
1393574262,4,0,Feb 28, 2014 2:57:42 PM
1393574270,4,0,Feb 28, 2014 2:57:51 PM
1393574271,4,1,Feb 28, 2014 2:57:51 PM
1393577652,4,1,Feb 28, 2014 3:54:13 PM
1393577653,4,0,Feb 28, 2014 3:54:13 PM
1393577661,4,0,Feb 28, 2014 3:54:22 PM
1393577662,4,1,Feb 28, 2014 3:54:22 PM
1393578597,4,1,Feb 28, 2014 4:09:58 PM
1393578598,4,0,Feb 28, 2014 4:09:58 PM
1393578606,4,0,Feb 28, 2014 4:10:07 PM
1393578607,4,1,Feb 28, 2014 4:10:07 PM
1393579050,4,1,Feb 28, 2014 4:17:31 PM
1393579051,4,0,Feb 28, 2014 4:17:31 PM
1393579059,4,0,Feb 28, 2014 4:17:40 PM
1393579060,4,1,Feb 28, 2014 4:17:40 PM
1393582361,4,1,Feb 28, 2014 5:12:42 PM
1393582362,4,0,Feb 28, 2014 5:12:42 PM
1393582370,4,0,Feb 28, 2014 5:12:51 PM
1393582371,4,1,Feb 28, 2014 5:12:51 PM
1393583638,4,1,Feb 28, 2014 5:33:59 PM
1393583639,4,0,Feb 28, 2014 5:33:59 PM
1393583647,4,0,Feb 28, 2014 5:34:08 PM
1393583648,4,1,Feb 28, 2014 5:34:08 PM
1393585349,4,1,Feb 28, 2014 6:02:30 PM
1393585350,4,0,Feb 28, 2014 6:02:30 PM
1393585358,4,0,Feb 28, 2014 6:02:39 PM
1393585359,4,1,Feb 28, 2014 6:02:39 PM
1393586154,4,1,Feb 28, 2014 6:15:55 PM
1393586155,4,0,Feb 28, 2014 6:15:55 PM
1393586163,4,0,Feb 28, 2014 6:16:04 PM
1393586164,4,1,Feb 28, 2014 6:16:04 PM
1393587050,4,1,Feb 28, 2014 6:30:51 PM
1393587051,4,0,Feb 28, 2014 6:30:51 PM
1393587058,4,0,Feb 28, 2014 6:30:59 PM
1393587059,4,1,Feb 28, 2014 6:30:59 PM
1393587794,4,1,Feb 28, 2014 6:43:15 PM
1393587795,4,0,Feb 28, 2014 6:43:15 PM
1393587803,4,0,Feb 28, 2014 6:43:24 PM
1393587804,4,1,Feb 28, 2014 6:43:24 PM
1393589887,4,1,Feb 28, 2014 7:18:08 PM
1393589888,4,0,Feb 28, 2014 7:18:08 PM
1393589896,4,0,Feb 28, 2014 7:18:17 PM
1393589897,4,1,Feb 28, 2014 7:18:17 PM
1393590682,4,1,Feb 28, 2014 7:31:23 PM
1393590683,4,0,Feb 28, 2014 7:31:23 PM
1393590691,4,0,Feb 28, 2014 7:31:32 PM
1393590692,4,1,Feb 28, 2014 7:31:32 PM
1393592091,4,1,Feb 28, 2014 7:54:52 PM
1393592092,4,0,Feb 28, 2014 7:54:52 PM
1393592099,4,0,Feb 28, 2014 7:55:00 PM
1393592100,4,1,Feb 28, 2014 7:55:00 PM
1393595009,4,1,Feb 28, 2014 8:43:30 PM
1393595010,4,0,Feb 28, 2014 8:43:30 PM
1393595018,4,0,Feb 28, 2014 8:43:39 PM
1393595019,4,1,Feb 28, 2014 8:43:39 PM
1393598011,4,1,Feb 28, 2014 9:33:32 AM
1393598012,4,0,Feb 28, 2014 9:33:32 AM
1393598020,4,0,Feb 28, 2014 9:33:41 AM
1393598021,4,1,Feb 28, 2014 9:33:41 AM
1393598218,4,1,Feb 28, 2014 9:36:59 PM
1393598219,4,0,Feb 28, 2014 9:36:59 PM
1393598227,4,0,Feb 28, 2014 9:37:08 PM
1393598228,4,1,Feb 28, 2014 9:37:08 PM
1393600130,4,1,Feb 28, 2014 10:08:51 PM
1393600131,4,0,Feb 28, 2014 10:08:51 PM
1393600139,4,0,Feb 28, 2014 10:09:00 PM
1393600140,4,1,Feb 28, 2014 10:09:00 PM
1393600170,4,1,Feb 28, 2014 10:09:31 PM
1393600171,4,0,Feb 28, 2014 10:09:31 PM
1393600179,4,0,Feb 28, 2014 10:09:40 PM
1393600180,4,1,Feb 28, 2014 10:09:40 PM
1393600301,4,1,Feb 28, 2014 10:11:42 PM
1393600302,4,0,Feb 28, 2014 10:11:42 PM
1393600310,4,0,Feb 28, 2014 10:11:51 PM
1393600311,4,1,Feb 28, 2014 10:11:51 PM
1393600879,4,1,Feb 28, 2014 10:21:20 AM
1393600880,4,0,Feb 28, 2014 10:21:20 AM
1393600887,4,0,Feb 28, 2014 10:21:28 AM
1393600888,4,1,Feb 28, 2014 10:21:28 AM
1393601351,4,1,Feb 28, 2014 10:29:12 AM
1393601352,4,0,Feb 28, 2014 10:29:12 AM
1393601360,4,0,Feb 28, 2014 10:29:21 AM
1393601361,4,1,Feb 28, 2014 10:29:21 AM
1393601921,4,1,Feb 28, 2014 10:38:42 PM
1393601922,4,0,Feb 28, 2014 10:38:42 PM
1393601930,4,0,Feb 28, 2014 10:38:51 PM
1393601931,4,1,Feb 28, 2014 10:38:51 PM
1393602646,4,1,Feb 28, 2014 10:50:47 PM
1393602647,4,0,Feb 28, 2014 10:50:47 PM
1393602655,4,0,Feb 28, 2014 10:50:56 PM
1393602656,4,1,Feb 28, 2014 10:50:56 PM
1393602790,4,1,Feb 28, 2014 10:53:11 AM
1393602791,4,0,Feb 28, 2014 10:53:11 AM
1393602799,4,0,Feb 28, 2014 10:53:20 AM
1393602800,4,1,Feb 28, 2014 10:53:20 AM
1393603743,4,1,Feb 28, 2014 11:09:04 PM
1393603744,4,0,Feb 28, 2014 11:09:04 PM
1393603752,4,0,Feb 28, 2014 11:09:13 PM
1393603753,4,1,Feb 28, 2014 11:09:13 PM
1393605104,4,1,Feb 28, 2014 11:31:45 AM
1393605105,4,0,Feb 28, 2014 11:31:45 AM
1393605113,4,0,Feb 28, 2014 11:31:54 AM
1393605114,4,1,Feb 28, 2014 11:31:54 AM
1393605141,4,1,Feb 28, 2014 11:32:22 PM
1393605142,4,0,Feb 28, 2014 11:32:22 PM
1393605150,4,0,Feb 28, 2014 11:32:31 PM
1393605151,4,1,Feb 28, 2014 11:32:31 PM
1393605664,4,1,Feb 28, 2014 11:41:05 PM
1393605665,4,0,Feb 28, 2014 11:41:05 PM
1393605673,4,0,Feb 28, 2014 11:41:14 PM
1393605674,4,1,Feb 28, 2014 11:41:14 PM
1393606131,4,1,Feb 28, 2014 11:48:52 AM
1393606132,4,0,Feb 28, 2014 11:48:52 AM
1393606140,4,0,Feb 28, 2014 11:49:01 AM
1393606141,4,1,Feb 28, 2014 11:49:01 AM
1393608304,4,1,Feb 28, 2014 12:25:05 PM
1393608305,4,0,Feb 28, 2014 12:25:05 PM
1393608313,4,0,Feb 28, 2014 12:25:14 PM
1393608314,4,1,Feb 28, 2014 12:25:14 PM
1393609592,4,1,Feb 28, 2014 12:46:33 PM
1393609593,4,0,Feb 28, 2014 12:46:33 PM
1393609611,4,0,Feb 28, 2014 12:46:52 PM
1393609612,4,1,Feb 28, 2014 12:46:52 PM
1393610156,4,1,Feb 28, 2014 12:55:57 PM
1393610157,4,0,Feb 28, 2014 12:55:57 PM
1393610165,4,0,Feb 28, 2014 12:56:06 PM
1393610166,4,1,Feb 28, 2014 12:56:06 PM
1393655363,4,1,Mar 1, 2014 1:29:24 AM
1393655364,4,0,Mar 1, 2014 1:29:24 AM
1393655372,4,0,Mar 1, 2014 1:29:33 AM
1393655373,4,1,Mar 1, 2014 1:29:33 AM
1393656186,4,1,Mar 1, 2014 1:43:07 AM
1393656187,4,0,Mar 1, 2014 1:43:07 AM
1393656195,4,0,Mar 1, 2014 1:43:16 AM
1393656196,4,1,Mar 1, 2014 1:43:16 AM
1393663856,4,1,Mar 1, 2014 3:50:57 PM
1393663857,4,0,Mar 1, 2014 3:50:57 PM
1393663865,4,0,Mar 1, 2014 3:51:06 PM
1393663866,4,1,Mar 1, 2014 3:51:06 PM
1393666182,4,1,Mar 1, 2014 4:29:43 AM
1393666183,4,0,Mar 1, 2014 4:29:43 AM
1393666191,4,0,Mar 1, 2014 4:29:52 AM
1393666192,4,1,Mar 1, 2014 4:29:52 AM
1393679867,4,1,Mar 1, 2014 8:17:48 AM
1393679868,4,0,Mar 1, 2014 8:17:48 AM
1393679876,4,0,Mar 1, 2014 8:17:57 AM
1393679877,4,1,Mar 1, 2014 8:17:57 AM
1393680369,4,1,Mar 1, 2014 8:26:10 AM
1393680370,4,0,Mar 1, 2014 8:26:10 AM
1393680378,4,0,Mar 1, 2014 8:26:19 AM
1393680379,4,1,Mar 1, 2014 8:26:19 AM
1393680570,4,1,Mar 1, 2014 8:29:31 AM
1393680571,4,0,Mar 1, 2014 8:29:31 AM
1393680579,4,0,Mar 1, 2014 8:29:40 AM
1393680580,4,1,Mar 1, 2014 8:29:40 AM
1393681415,4,1,Mar 1, 2014 8:43:36 AM
1393681416,4,0,Mar 1, 2014 8:43:36 AM
1393681424,4,0,Mar 1, 2014 8:43:45 AM
1393681425,4,1,Mar 1, 2014 8:43:45 AM
1393681686,4,1,Mar 1, 2014 8:48:07 AM
1393681687,4,0,Mar 1, 2014 8:48:07 AM
1393681695,4,0,Mar 1, 2014 8:48:16 AM
1393681696,4,1,Mar 1, 2014 8:48:16 AM
1393682239,4,1,Mar 1, 2014 8:57:20 AM
1393682240,4,0,Mar 1, 2014 8:57:20 AM
1393682248,4,0,Mar 1, 2014 8:57:29 AM
1393682249,4,1,Mar 1, 2014 8:57:29 AM
1393682601,4,1,Mar 1, 2014 9:03:22 AM
1393682602,4,0,Mar 1, 2014 9:03:22 AM
1393682610,4,0,Mar 1, 2014 9:03:31 AM
1393682611,4,1,Mar 1, 2014 9:03:31 AM
1393694550,4,1,Mar 1, 2014 12:22:31 AM
1393694551,4,0,Mar 1, 2014 12:22:31 AM
1393694559,4,0,Mar 1, 2014 12:22:40 AM
1393694560,4,1,Mar 1, 2014 12:22:40 AM
1393696039,4,1,Mar 1, 2014 12:47:20 AM
1393696040,4,0,Mar 1, 2014 12:47:20 AM
1393696048,4,0,Mar 1, 2014 12:47:29 AM
1393696049,4,1,Mar 1, 2014 12:47:29 AM
1393752899,4,1,Mar 2, 2014 4:35:00 AM
1393752900,4,0,Mar 2, 2014 4:35:00 AM
1393752900,4,0,Mar 2, 2014 4:35:01 AM
1393752901,4,1,Mar 2, 2014 4:35:01 AM
1393770793,4,1,Mar 2, 2014 9:33:14 AM
1393770794,4,0,Mar 2, 2014 9:33:14 AM
1393770802,4,0,Mar 2, 2014 9:33:23 AM
1393770803,4,1,Mar 2, 2014 9:33:23 AM
1393773281,4,1,Mar 2, 2014 10:14:42 PM
1393773282,4,0,Mar 2, 2014 10:14:42 PM
1393773290,4,0,Mar 2, 2014 10:14:51 PM
1393773291,4,1,Mar 2, 2014 10:14:51 PM
1393773804,4,1,Mar 2, 2014 10:23:25 PM
1393773805,4,0,Mar 2, 2014 10:23:25 PM
1393773813,4,0,Mar 2, 2014 10:23:34 PM
1393773814,4,1,Mar 2, 2014 10:23:34 PM
1393775363,4,1,Mar 2, 2014 10:49:24 PM
1393775364,4,0,Mar 2, 2014 10:49:24 PM
1393775372,4,0,Mar 2, 2014 10:49:33 PM
1393775373,4,1,Mar 2, 2014 10:49:33 PM
1393827752,4,1,Mar 3, 2014 1:22:33 PM
1393827753,4,0,Mar 3, 2014 1:22:33 PM
1393827761,4,0,Mar 3, 2014 1:22:42 PM
1393827762,4,1,Mar 3, 2014 1:22:42 PM
1393828051,4,1,Mar 3, 2014 1:27:32 AM
1393828052,4,0,Mar 3, 2014 1:27:32 AM
1393828060,4,0,Mar 3, 2014 1:27:41 AM
1393828061,4,1,Mar 3, 2014 1:27:41 AM
1393829378,5,1,Mar 3, 2014 1:49:39 PM
1393829379,5,0,Mar 3, 2014 1:49:39 PM
1393829405,5,0,Mar 3, 2014 1:50:06 PM
1393829406,5,1,Mar 3, 2014 1:50:06 PM
1393829852,5,1,Mar 3, 2014 1:57:33 AM
1393829853,5,0,Mar 3, 2014 1:57:33 AM
1393829861,5,0,Mar 3, 2014 1:57:42 AM
1393829862,5,1,Mar 3, 2014 1:57:42 AM
1393829912,5,1,Mar 3, 2014 1:58:33 AM
1393829913,5,0,Mar 3, 2014 1:58:33 AM
1393829921,5,0,Mar 3, 2014 1:58:42 AM
1393829922,5,1,Mar 3, 2014 1:58:42 AM
1393831666,5,1,Mar 3, 2014 2:27:47 PM
1393831667,5,0,Mar 3, 2014 2:27:47 PM
1393831675,5,0,Mar 3, 2014 2:27:56 PM
1393831676,5,1,Mar 3, 2014 2:27:56 PM
1393831958,5,1,Mar 3, 2014 2:32:39 PM
1393831959,5,0,Mar 3, 2014 2:32:39 PM
1393831988,5,0,Mar 3, 2014 2:33:09 PM
1393831989,5,1,Mar 3, 2014 2:33:09 PM
1393832232,5,1,Mar 3, 2014 2:37:13 PM
1393832233,5,0,Mar 3, 2014 2:37:13 PM
1393832243,5,0,Mar 3, 2014 2:37:24 PM
1393832244,5,1,Mar 3, 2014 2:37:24 PM
1393833299,5,1,Mar 3, 2014 2:55:00 PM
1393833300,5,0,Mar 3, 2014 2:55:00 PM
1393833399,5,0,Mar 3, 2014 2:56:40 PM
1393833400,5,1,Mar 3, 2014 2:56:40 PM
1393833852,5,1,Mar 3, 2014 3:04:13 PM
1393833853,5,0,Mar 3, 2014 3:04:13 PM
1393833860,5,0,Mar 3, 2014 3:04:21 PM
1393833861,5,1,Mar 3, 2014 3:04:21 PM
1393833867,6,1,Mar 3, 2014 3:04:28 PM
1393833868,6,0,Mar 3, 2014 3:04:28 PM
1393833876,6,0,Mar 3, 2014 3:04:37 PM
1393833877,6,1,Mar 3, 2014 3:04:37 PM
1393833898,6,1,Mar 3, 2014 3:04:59 PM
1393833899,6,0,Mar 3, 2014 3:04:59 PM
1393833902,6,0,Mar 3, 2014 3:05:03 PM
1393833903,6,1,Mar 3, 2014 3:05:03 PM
1393834128,6,1,Mar 3, 2014 3:08:49 AM
1393834129,6,0,Mar 3, 2014 3:08:49 AM
1393834137,6,0,Mar 3, 2014 3:08:58 AM
1393834138,6,1,Mar 3, 2014 3:08:58 AM
1393834217,6,1,Mar 3, 2014 3:10:18 PM
1393834218,6,0,Mar 3, 2014 3:10:18 PM
1393834238,6,0,Mar 3, 2014 3:10:39 PM
1393834239,6,1,Mar 3, 2014 3:10:39 PM
1393834292,6,1,Mar 3, 2014 3:11:33 PM
1393834293,6,0,Mar 3, 2014 3:11:33 PM
1393834301,6,0,Mar 3, 2014 3:11:42 PM
1393834302,6,1,Mar 3, 2014 3:11:42 PM
1393835233,6,1,Mar 3, 2014 3:27:14 PM
1393835234,6,0,Mar 3, 2014 3:27:14 PM
1393839630,8,0,Mar 3, 2014 4:40:31 AM
1393839631,8,1,Mar 3, 2014 4:40:31 AM
1393841432,8,1,Mar 3, 2014 5:10:33 AM
1393841433,8,0,Mar 3, 2014 5:10:33 AM
1393841441,8,0,Mar 3, 2014 5:10:42 AM
1393841442,8,1,Mar 3, 2014 5:10:42 AM
1393842539,8,1,Mar 3, 2014 5:29:00 AM
1393842540,8,0,Mar 3, 2014 5:29:00 AM
1393842548,8,0,Mar 3, 2014 5:29:09 AM
1393842549,8,1,Mar 3, 2014 5:29:09 AM
1393843259,8,1,Mar 3, 2014 5:41:00 PM
1393843260,8,0,Mar 3, 2014 5:41:00 PM
1393843954,8,0,Mar 3, 2014 5:52:35 PM
1393843955,8,1,Mar 3, 2014 5:52:35 PM
1393844843,8,1,Mar 3, 2014 6:07:24 AM
1393844844,8,0,Mar 3, 2014 6:07:24 AM
1393844852,8,0,Mar 3, 2014 6:07:33 AM
1393844853,8,1,Mar 3, 2014 6:07:33 AM
1393845286,8,1,Mar 3, 2014 6:14:47 AM
1393845287,8,0,Mar 3, 2014 6:14:47 AM
1393845295,8,0,Mar 3, 2014 6:14:56 AM
1393845296,8,1,Mar 3, 2014 6:14:56 AM
1393845567,8,1,Mar 3, 2014 6:19:28 AM
1393845568,8,0,Mar 3, 2014 6:19:28 AM
1393845576,8,0,Mar 3, 2014 6:19:37 AM
1393845577,8,1,Mar 3, 2014 6:19:37 AM
1393845996,8,1,Mar 3, 2014 6:26:37 PM
1393845997,8,0,Mar 3, 2014 6:26:37 PM
1393847015,10,0,Mar 3, 2014 6:43:36 AM
1393847016,10,1,Mar 3, 2014 6:43:36 AM
1393852922,10,1,Mar 3, 2014 8:22:03 AM
1393852923,10,0,Mar 3, 2014 8:22:03 AM
1393852931,10,0,Mar 3, 2014 8:22:12 AM
1393852932,10,1,Mar 3, 2014 8:22:12 AM
1393857812,10,1,Mar 3, 2014 9:43:33 AM
1393857813,10,0,Mar 3, 2014 9:43:33 AM
1393857821,10,0,Mar 3, 2014 9:43:42 AM
1393857822,10,1,Mar 3, 2014 9:43:42 AM
1393858154,10,1,Mar 3, 2014 9:49:15 AM
1393858155,10,0,Mar 3, 2014 9:49:15 AM
1393858163,10,0,Mar 3, 2014 9:49:24 AM
1393858164,10,1,Mar 3, 2014 9:49:24 AM
1393863627,10,1,Mar 3, 2014 11:20:28 AM
1393863628,10,0,Mar 3, 2014 11:20:28 AM
1393863636,10,0,Mar 3, 2014 11:20:37 AM
1393863637,10,1,Mar 3, 2014 11:20:37 AM
1393864271,10,1,Mar 3, 2014 11:31:12 AM
1393864272,10,0,Mar 3, 2014 11:31:12 AM
1393864280,10,0,Mar 3, 2014 11:31:21 AM
1393864281,10,1,Mar 3, 2014 11:31:21 AM
1393864301,10,1,Mar 3, 2014 11:31:42 AM
1393864302,10,0,Mar 3, 2014 11:31:42 AM
1393864310,10,0,Mar 3, 2014 11:31:51 AM
1393864311,10,1,Mar 3, 2014 11:31:51 AM
1393866271,10,1,Mar 3, 2014 12:04:32 AM
1393866272,10,0,Mar 3, 2014 12:04:32 AM
1393866280,10,0,Mar 3, 2014 12:04:41 AM
1393866281,10,1,Mar 3, 2014 12:04:41 AM
1393867498,10,1,Mar 3, 2014 12:24:59 AM
1393867499,10,0,Mar 3, 2014 12:24:59 AM
1393867507,10,0,Mar 3, 2014 12:25:08 AM
1393867508,10,1,Mar 3, 2014 12:25:08 AM
1393867682,10,1,Mar 3, 2014 12:28:03 PM
1393867683,10,0,Mar 3, 2014 12:28:03 PM
1393867691,10,0,Mar 3, 2014 12:28:12 PM
1393867692,10,1,Mar 3, 2014 12:28:12 PM
1393868343,10,1,Mar 3, 2014 12:39:04 AM
1393868344,10,0,Mar 3, 2014 12:39:04 AM
1393868352,10,0,Mar 3, 2014 12:39:13 AM
1393868353,10,1,Mar 3, 2014 12:39:13 AM
1393868665,10,1,Mar 3, 2014 12:44:26 AM
1393868666,10,0,Mar 3, 2014 12:44:26 AM
1393868674,10,0,Mar 3, 2014 12:44:35 AM
1393868675,10,1,Mar 3, 2014 12:44:35 AM
1395920562,10,1,Mar 27, 2014 7:42:43 AM
1395920563,10,0,Mar 27, 2014 7:42:43 AM
1395920577,10,0,Mar 27, 2014 7:42:58 AM
1395920578,10,1,Mar 27, 2014 7:42:58 AM
1395921624,10,1,Mar 27, 2014 8:00:25 AM
1395921625,10,0,Mar 27, 2014 8:00:25 AM
1395926453,10,0,Mar 27, 2014 9:20:54 AM
1395926454,10,1,Mar 27, 2014 9:20:54 AM
1395929969,10,1,Mar 27, 2014 10:19:30 AM
1395929970,10,0,Mar 27, 2014 10:19:30 AM
1395929970,10,0,Mar 27, 2014 10:19:31 AM
1395929971,10,1,Mar 27, 2014 10:19:31 AM
1395931271,10,1,Mar 27, 2014 10:41:12 AM
1395931272,10,0,Mar 27, 2014 10:41:12 AM
1395931326,10,0,Mar 27, 2014 10:42:07 AM
1395931327,10,1,Mar 27, 2014 10:42:07 AM
1395931358,10,1,Mar 27, 2014 10:42:39 AM
1395931359,10,0,Mar 27, 2014 10:42:39 AM
1395931464,10,0,Mar 27, 2014 10:44:25 AM
1395931465,10,1,Mar 27, 2014 10:44:25 AM
1395931642,10,1,Mar 27, 2014 10:47:23 AM
1395931643,10,0,Mar 27, 2014 10:47:23 AM
1395932690,10,0,Mar 27, 2014 11:04:51 AM
1395932691,10,1,Mar 27, 2014 11:04:51 AM
1395932999,10,1,Mar 27, 2014 11:10:00 AM
1395933000,10,0,Mar 27, 2014 11:10:00 AM
1395933027,10,0,Mar 27, 2014 11:10:28 AM
1395933028,10,1,Mar 27, 2014 11:10:28 AM
1395986592,10,1,Mar 28, 2014 2:03:13 PM
1395986593,10,0,Mar 28, 2014 2:03:13 PM
1395989114,10,0,Mar 28, 2014 2:45:15 PM
1395989115,10,1,Mar 28, 2014 2:45:15 PM
1395989115,10,1,Mar 28, 2014 2:45:16 PM
1395989116,10,0,Mar 28, 2014 2:45:16 PM
1395989122,10,0,Mar 28, 2014 2:45:23 PM
1395989123,10,1,Mar 28, 2014 2:45:23 PM
1395989139,10,1,Mar 28, 2014 2:45:40 PM
1395989140,10,0,Mar 28, 2014 2:45:40 PM
1395989678,10,0,Mar 28, 2014 2:54:39 PM
1395989679,10,1,Mar 28, 2014 2:54:39 PM
1395989687,10,1,Mar 28, 2014 2:54:48 PM
1395989688,10,0,Mar 28, 2014 2:54:48 PM
1395990629,10,0,Mar 28, 2014 3:10:30 PM
1395990630,10,1,Mar 28, 2014 3:10:30 PM
1395992330,10,1,Mar 28, 2014 3:38:51 PM
1395992331,10,0,Mar 28, 2014 3:38:51 PM
1395994923,10,0,Mar 28, 2014 4:22:04 AM
1395994924,10,1,Mar 28, 2014 4:22:04 AM
1395995391,10,1,Mar 28, 2014 4:29:52 AM
1395995392,10,0,Mar 28, 2014 4:29:52 AM
1395995399,10,0,Mar 28, 2014 4:30:00 AM
1395995400,10,1,Mar 28, 2014 4:30:00 AM
1395996379,10,1,Mar 28, 2014 4:46:20 AM
1395996380,10,0,Mar 28, 2014 4:46:20 AM
1395996434,10,0,Mar 28, 2014 4:47:15 AM
1395996435,10,1,Mar 28, 2014 4:47:15 AM
1396002468,10,1,Mar 28, 2014 6:27:49 PM
1396002469,10,0,Mar 28, 2014 6:27:49 PM
1396002469,10,0,Mar 28, 2014 6:27:50 PM
1396002470,10,1,Mar 28, 2014 6:27:50 PM
1396002894,10,1,Mar 28, 2014 6:34:55 PM
1396002895,10,0,Mar 28, 2014 6:34:55 PM
1396003144,10,0,Mar 28, 2014 6:39:05 PM
1396003145,10,1,Mar 28, 2014 6:39:05 PM
1396004566,10,1,Mar 28, 2014 7:02:47 AM
1396004567,10,0,Mar 28, 2014 7:02:47 AM
1396007611,10,0,Mar 28, 2014 7:53:32 PM
1396007612,10,1,Mar 28, 2014 7:53:32 PM
1396007851,10,1,Mar 28, 2014 7:57:32 AM
1396007852,10,0,Mar 28, 2014 7:57:32 AM
1396016465,10,0,Mar 28, 2014 10:21:06 AM
1396016466,10,1,Mar 28, 2014 10:21:06 AM
1396017648,10,1,Mar 28, 2014 10:40:49 AM
1396017649,10,0,Mar 28, 2014 10:40:49 AM
1396017649,10,0,Mar 28, 2014 10:40:50 AM
1396017650,10,1,Mar 28, 2014 10:40:50 AM
1396018361,10,1,Mar 28, 2014 10:52:42 AM
1396018362,10,0,Mar 28, 2014 10:52:42 AM
1396018362,10,0,Mar 28, 2014 10:52:43 AM
1396018363,10,1,Mar 28, 2014 10:52:43 AM
1396089308,10,1,Mar 29, 2014 6:35:09 PM
1396089309,10,0,Mar 29, 2014 6:35:09 PM
1396089316,10,0,Mar 29, 2014 6:35:17 PM
1396089317,10,1,Mar 29, 2014 6:35:17 PM
1396091117,10,1,Mar 29, 2014 7:05:18 PM
1396091118,10,0,Mar 29, 2014 7:05:18 PM
1396091516,10,0,Mar 29, 2014 7:11:57 PM
1396091517,10,1,Mar 29, 2014 7:11:57 PM
1396096481,10,1,Mar 29, 2014 8:34:42 AM
1396096482,10,0,Mar 29, 2014 8:34:42 AM
1396096488,10,0,Mar 29, 2014 8:34:49 AM
1396096489,10,1,Mar 29, 2014 8:34:49 AM
1396098303,10,1,Mar 29, 2014 9:05:04 AM
1396098304,10,0,Mar 29, 2014 9:05:04 AM
1396098688,10,0,Mar 29, 2014 9:11:29 AM
1396098689,10,1,Mar 29, 2014 9:11:29 AM
1396100553,10,1,Mar 29, 2014 9:42:34 PM
1396100554,10,0,Mar 29, 2014 9:42:34 PM
1396101729,10,0,Mar 29, 2014 10:02:10 PM
1396101730,10,1,Mar 29, 2014 10:02:10 PM
1396168214,10,1,Mar 30, 2014 4:30:15 PM
1396168215,10,0,Mar 30, 2014 4:30:15 PM
